"Latitude","Longitude","Location","Description"
"23.163326","72.704316","JETHIPURA BOARD","Due to Connection Six lane to two lane  road (Severity 2)"
"23.688527","73.385714","SHAMLAJI TOWN ROAD","Due to curve road (Severity 8)"
"22.74888","72.664005","HARIYANA BYPASS Y POINT","Due to Y point, Overtaking (Severity 3)"
"22.461325","73.065781","VASAD CROSS ROAD","Due to Cross Road (Severity 6)"
"24.221633","72.313162","CHANDISAR CROSS ROAD NEAR BUS STOP","Due to Over Speed & Cross road (Severity 9)"
"22.159924","70.792218","SHAPAR-VERAVAL","Due to Both Side Resi. Area & G.I.D.C.  area (Severity 20)"
"22.18263","70.798932","PARDI BOARD","Due to Curve Both Side Resi. Area (Severity 7)"
"22.173659","70.79641","PARDI SIM NEAR SHITALA MATAJI TEMPLE","Due to Both Side Resi. Area & Industries (Severity 13)"
"23.075786","70.796702","MALIYA-HALVAD CROSS ROAD","Due to Cross Road & no Speed  breaker (Severity 4)"
"21.03246","70.290882","GADU TO SANTIPARA","Due to Long Bridge & Curve Road (Severity 12)"
"21.610895","70.498684","VADAL BOARD","Due to Connected Three S.H.Road to N.H. (Severity 5)"
"21.691669","72.157285","BUDHEL BOARD","Due to Narrow Road (Severity 3)"
"21.364426","72.038419","TALAJA TO VELAVADAR","Due to Sharp Curve (Severity 18)"
"21.702059","73.060765","SARDAR BRIDGE SOUTH SIDE ANKLESHVAR","From L&T Toll Both to mulad chokdi side become 3 lane to 1 lane, then after crossing Bridge 2 lanes it become 3 lanes (Severity 6)"
"21.384648","72.958349","KIM CROSS ROAD PIPODARA","Both Side Resi. Area Near highway Due to Cross Road (Severity 10)"
"21.335441","72.961204","KAMREJ SUGAR FACTOR","Due to no Opening cut (Severity 14)"
"21.31381","72.960622","DHORAN PARDI","Due to cross road (Severity 14)"
"21.277216","72.952377","KHOLVAD CROSS ROAD","Due to no Opening cut & Service road (Severity 15)"
"21.241163","72.968552","VAV TO UBHEL ROAD","Both Side Resi. Area Near highway due to Cross Road (Severity 18)"
"21.17174","72.962845","KADODARA BRIDGE TO CHALTHAN ROAD","Both Side Resi. Area Near highway due to Cross Road (Severity 12)"
"20.480733","72.935022","KHADAK PARDI BOARD","Due to Curve road (Severity 9)"
"20.695714","72.975846","SONVADA BOARD","Due to road crossing & wrong side Transportation (Severity 11)"
"21.089523","73.282046","BAJIPURA T JOINT","Due to Small Divider, no Zebra crossing & Cat eye (Severity 10)"
"21.095958","73.259483","BAJIPURA NEAR SUMUL DAIRY","Due to Without Divider & Pedestrian crossing (Severity 12)"
"21.099765","73.333141","MAYAPUR OPP, SEVENTH DAY SCHOOL","Due to no Speed Breaker, Barricading, Pedestrian crossing (Severity 9)"
